Original Product Code,SAP Product Code
C2572085,4008482
C2572090,4008483
C2572095,4008484
C2572100,4008485
C2572105,4008486
C2579020,4008487
C2579025,4008488
C2579032,4008489
C2579040,4008490
C2579050,4008491
C2579063,4008492
C2599005,4008493
C2599010,4008494
C2599015,4008495
C2599017,4008496
C2599020,4008497
C2599025,4008498
C2599115,4008499
C2711000,4008500
C2711005,4008501
C2711010,4008502
C2711015,4008503
C2712005,4008504
C2713005,4008505
C2720005,4008506
C2725160,4008519
C2731005,4008520
C2732005,4008521
C2735020,4008522
C2735025,4008523
C2735030,4008524
C2741005,4008525
C2741010,4008526
C2741015,4008299
C3501010,4008300
C3501015,4008301
C3501020,4008302
C3501025,4008303
C3501030,4008304
C3501035,4008305
C3503005,4008306
C3503010,4008307
C3503015,4008308
C3503020,4008309
C3504010,4008310
C3504015,4008311
C3504020,4008312
C3504025,4008313
C3504030,4008314
C3504035,4008315
C3505010,4008316
C3505015,4008317
C3505020,4008318
C3506005,4008319
C3506010,4008320
C3506015,4008321
C3506020,4008322
C3506025,4008323
C3506030,4008324
C3507010,4008325
C3507020,4008326
C3508005,4008327
C3508010,4008328
C3508015,4008329
C3508020,4008330
C3508025,4008331
C3508030,4008332
C3509005,4008333
C3510005,4008334
C3510010,4008335
C3510015,4008336
C3510020,4008337
C3510025,4008338
C3510030,4008339
C3511005,4008340
C3511010,4008341
C3511015,4008342
C3511020,4008343
C3511025,4008344
C3512005,4008345
C3512010,4008346
C3512015,4008347
C3513005,4008348
C3513010,4008349
C3513015,4008350
C3513020,4008351
C3513025,4008352
C3513030,4008353
C3523005,4008354
C3523010,4008355
C3523015,4008356
C3523020,4008357
C3523025,4008358
C3523030,4008359
C3530010,4008360
C3530015,4008361
C3530020,4008362
C3530025,4008363
C3530030,4008364
C3530035,4008365
C3590010,4008366
C3590015,4008367
C4000020,4008368
C4000055,4008369
C4000060,4008370
C4000070,4008371
C4000075,4008372
C4000080,4008373
C4000085,4008374
C4000090,4008375
C4000095,4008376
C4100090,4008378
C8801105,4008383
C8801110,4008384
C8801115,4008385
C8801120,4008386
C8801125,4008387
C8801205,4008388
C8801210,4008389
C8801215,4008390
C8801220,4008391
C8810105,4008392
C8810110,4008393
C8810115,4008394
C8810120,4008395
C8810125,4008396
C8811105,4008397
C8811110,4008398
C8811115,4008399
C8811120,4008400
C8811125,4008401
C8823120,4008402
C8823125,4008403
C8823130,4008404
C8823135,4008405
C8823140,4008406
C9065252,4008407
C9068195,4008408
C9068196,4008409
C9068198,4008410
C9068199,4008411
C9068200,4008412
C9068201,4008185
C9068202,4008186
C9068203,4008187
C9068204,4008188
C9068205,4008189
C9068207,4008190
C9068208,4008191
C9068212,4008192
C9068213,4008193
C9068215,4008194
C9068216,4008195
C9068217,4008196
C9068218,4008197
C9068219,4008198
C9068220,4008199
C9068221,4008200
C9068222,4008201
C9068224,4008202
C9068225,4008203
C9112001,4008204
C9112002,4008205
C9112003,4008206
C9112004,4008207
C9112005,4008208
C9112007,4008209
C9112008,4008210
C9112009,4008211
C9112010,4008212
C9112011,4008213
C9112076,4008214
C9112077,4008215
C9112078,4008216
C9112079,4008217
C9112080,4008218
C9112081,4008219
C9112083,4008220
C9112084,4008221
C9112085,4008222
C9112086,4008223
C9112087,4008224
C9117043,4008236
C9117044,4008237
C9117045,4008238
C9117046,4008239
C9117047,4008240
C9117049,4008241
C9117050,4008242
C9117051,4008243
C9117052,4008244
C9117068,4008245
C9117069,4008246
C9117070,4008247
C9117071,4008248
C9117072,4008249
C9117074,4008250
C9117076,4008252
C9117077,4008253
C9117146,4008254
C9117147,4008255
C9117148,4008256
C9117149,4008257
C9117150,4008258
C9117151,4008259
C9117152,4008260
C9117153,4008261
C9117154,4008262
C9117155,4008263
C9117156,4008264
C9117157,4008265
C9117158,4008266
C9117159,4008267
C9117160,4008268
C9117161,4008269
C9117162,4008270
C9117163,4008271
C9117164,4008272
C9117165,4008273
C9117166,4008274
C9117167,4008275
C9117168,4008276
C9117169,4008277
C9117170,4008278
C9117171,4008279
C9117172,4008280
C9117173,4008281
C9117175,4008282
C9117176,4008283
C9117177,4008284
C9117178,4008285
C9117179,4008286
C9117180,4008287
C9117181,4008288
C9117182,4008289
C9117183,4008290
C9117184,4008291
C9117185,4008292
C9117186,4008293
C9117187,4008294
C9117188,4008295
C9117189,4008296
C9130105,4008297
C9130106,4008298
C9130107,4008071
C9130108,4008072
C9130109,4008073
C9130110,4008074
C9130112,4008075
C9130113,4008076
C9130116,4008077
C9130117,4008078
C9130118,4008079
C9130119,4008080
C9130120,4008081
C9130121,4008082
C9130122,4008083
C9130123,4008084
C9130124,4008085
C9130125,4008086
C9130126,4008087
C9130127,4008088
C9130128,4008089
C9130129,4008090
C9130130,4008091
C9130131,4008092
C9130134,4008093
C9130135,4008094
C9130136,4008095
C9130137,4008096
C9130138,4008097
C9130139,4008098
C9130140,4008099
C9131123,4008100
C9131124,4008101
C9131125,4008102
C9131126,4008103
C9131127,4008104
C9131130,4008105
C9131131,4008106
C9131134,4008107
C9131135,4008108
C9131136,4008109
C9131137,4008110
C9131138,4008111
C9131139,4008112
C9140105,4008113
C9140106,4008114
C9140110,4008115
C9140115,4008116
C9140120,4008117
C9140125,4008119
C9140130,4008121
C9140135,4008122
D0101406,4008135
D0104020,4008136
D0114032,4008137
D0123150,4008138
D0131065,4008139
D0140005,4008141
D0140010,4008142
D0140015,4008143
D0141002,4008144
D0141003,4008145
D0141004,4008146
D0141005,4008147
D0141020,4008148
D0141025,4008149
D0142005,4008150
D0142010,4008151
D0142015,4008152
D0142020,4008153
D0142025,4008154
D0143005,4008155
D0143010,4008156
D0143015,4008157
D0143020,4008158
D0143025,4008159
D0143030,4008160
D0171000,4008161
D0171005,4008162
D0274015,4008163
D0274020,4008164
D0274025,4008165
D0412025,4008166
D0420005,4008168
D0430005,4008169
D0430010,4008170
D0736090,4008171
D0801645,4008172
D0827005,4008175
D0827010,4008176
D0827015,4008177
D0827020,4008178
D0827025,4008179
D0827027,4008180
D0827037,4008181
D0827045,4008182
D0830125,4008183
D0837032,4008184
D0837040,4007997
D0837050,4007998
D0837080,4007999
D0840005,4008000
D0840010,4008001
D0840015,4008002
D0840020,4008003
D0841005,4012554
D0841010,4012555
D0841015,4012556
D0841020,4012557
D0842030,4008004
D0842035,4008005
D0842040,4008006
D0842045,4008007
D0842047,4008008
D0845005,4008009
D0845010,4008010
D0845020,4008011
D0845025,4008012
D0845030,4008013
D0845032,4008014
D0845037,4008015
D0845042,4008016
D0845045,4008017
D0845050,4008018
D0860010,4008021
D0860015,4008022
D0860020,4008023
D0860025,4008024
D0860030,4008025
D0860040,4008026
D0860050,4008027
D0860055,4008028
D0860060,4008029
D0860065,4008030
D0860070,4008031
D0900051,4008033
D0900055,4008034
D0900060,4008035
D0900065,4008036
D0900070,4008037
D0900087,4008038
D0900090,4008039
D0910072,4008040
D0910082,4008041
D0910095,4008042
D0910115,4008043
D0910120,4008044
D0910130,4008045
D1575000,4008046
D1575005,4008047
D1575010,4008048
D9100007,4008049
D9100008,4008050
D9100012,4008051
D9100017,4008053
D9100018,4008054
D9100023,4008055
D9100024,4008056
D9101015,4008058
D9136005,4008059
D9136010,4008060
D9136015,4008061
D9137005,4008062
D9137010,4008063
D9137015,4008064
D9137020,4008065
D9145030,4008067
D9300005,4008068
DZ000181,4007903
DZ000215,4007907
E0800006,4007912
E0800010,4007913
E0800013,4007914
E0800025,4007915
E0800031,4007917
E0800040,4007918
E0800045,4007919
E0800047,4007920
E0800052,4007921
E0800055,4007922
E0800057,4007923
E0800058,4007924
E0800059,4007925
E0800060,4007926
E0800063,4007927
E0800066,4007929
E0800070,4007930
E0800071,4007931
E0800073,4007932
E0800075,4007933
E0800078,4007934
E0800079,4007935
E0800080,4007936
E0800082,4007937
E0800085,4007938
E0800090,4007939
E0800091,4007940
E0800092,4007941
E0800093,4007942
E0800098,4007943
E0800100,4007944
E0800102,4007946
E0800105,4007948
E0800106,4007949
E0800110,4007950
E0800115,4007951
E0800116,4007952
E0800117,4007953
E0800120,4007954
E0800121,4007955
E0800124,4007956
E0800125,4007957
E0800126,4007958
E0800127,4007959
E0800128,4007960
E0800130,4007962
E0800131,4007963
E0800132,4007964
E0800133,4007965
E0800135,4007966
E0800136,4007967
E0800140,4007968
E0800145,4007969
E0800150,4007970
E0800155,4007971
E0800160,4007972
E0800161,4007973
E0800165,4007974
E0800170,4007975
E0800180,4007977
E0800185,4007978
E0800186,4007979
E0800187,4007980
E0800190,4007981
E0800191,4007982
E0800195,4007984
E0800200,4007985
E0800203,4007986
E0800205,4007987
E0800210,4007988
E0800220,4007989
E0800221,4007990
E0800225,4007991
E0800230,4007992
E0800233,4007993
E0800235,4007994
E0800236,4007995
E0800240,4007996
E0800241,4007789
E0800242,4007790
E0800245,4007791
E0800250,4007792
E0800251,4007793
E0800252,4007794
E0800253,4007795
E0800255,4007796
E0800256,4007797
E0800260,4007798
E0800265,4007799
E0800266,4007800
E0800267,4007801
E0800270,4007802
E0800271,4007803
E0800275,4007804
E0800280,4007805
E0800285,4007806
E0800286,4007807
E0800305,4007808
E0800306,4007809
E0800310,4007810
E0800311,4007811
E0800312,4007812
E0800315,4007813
E0800320,4007814
E0800323,4007815
E0800324,4007816
E0800325,4007817
E0800326,4007818
E0800327,4007819
E0800330,4007820
E0800335,4007821
E0800340,4007822
E0800342,4007823
E0800343,4007824
E0800344,4007825
