Original Product Code,SAP Product Code
C9068196,4004231
C9068198,4004232
C9068199,4004233
C9068200,4004234
C9068201,4004235
C9068202,4004236
C9068203,4004237
C9068204,4004238
C9068205,4004239
C9068207,4004240
C9068208,4004241
C9068212,4004242
C9068213,4004243
C9068215,4004244
C9068216,4004245
C9068217,4004246
C9068218,4004247
C9068219,4004248
C9068220,4004249
C9068221,4004250
C9068222,4004251
C9068224,4004252
C9068225,4004253
C9112001,4004254
C9112002,4004255
C9112003,4004256
C9112004,4004257
C9112005,4004258
C9112007,4004259
C9112008,4004260
C9112009,4004261
C9112010,4004262
C9112011,4004263
C9112076,4004264
C9112077,4004265
C9112078,4004266
C9112079,4004267
C9112080,4004268
C9112081,4004269
C9112083,4004270
C9112084,4004271
C9112085,4004272
C9112086,4004273
C9112087,4004274
C9117043,4004286
C9117044,4004287
C9117045,4004288
C9117046,4004289
C9117047,4004290
C9117049,4004291
C9117050,4004292
C9117051,4004293
C9117052,4004294
C9117068,4004295
C9117069,4004296
C9117070,4004297
C9117071,4004298
C9117072,4004299
C9117074,4004300
C9117076,4004302
C9117077,4004303
C9117146,4004304
C9117147,4004305
C9117148,4004306
C9117149,4004307
C9117150,4004308
C9117151,4004309
C9117152,4004310
C9117153,4004311
C9117154,4004312
C9117155,4004313
C9117156,4004314
C9117157,4004315
C9117158,4004316
C9117159,4004317
C9117160,4004318
C9117161,4004319
C9117162,4004320
C9117163,4004321
C9117164,4004322
C9117165,4004323
C9117166,4004324
C9117167,4004325
C9117168,4004326
C9117169,4004327
C9117170,4004328
C9117171,4004329
C9117172,4004330
C9117173,4004331
C9117175,4004332
C9117176,4004333
C9117177,4004334
C9117178,4004335
C9117179,4004336
C9117180,4004337
C9117181,4004338
C9117182,4004339
C9117183,4004340
C9117184,4004341
C9117185,4004342
C9117186,4004343
C9117187,4004344
C9117188,4004345
C9117189,4004346
C9130105,4004347
C9130106,4004348
C9130107,4004349
C9130108,4004350
C9130109,4004351
C9130110,4004352
C9130112,4004353
C9130113,4004354
C9130116,4004355
C9130117,4004356
C9130118,4004357
C9130119,4004358
C9130120,4004359
C9130121,4004360
C9130122,4004361
C9130123,4004362
C9130124,4004363
C9130125,4004364
C9130126,4004365
C9130127,4004366
C9130128,4004367
C9130129,4004368
C9130130,4004369
C9130131,4004370
C9130134,4004371
C9130135,4004372
C9130136,4004373
C9130137,4004374
C9130138,4004375
C9130139,4004376
C9130140,4004377
C9131123,4004378
C9131124,4004379
C9131125,4004380
C9131126,4004381
C9131127,4004382
C9131130,4004383
C9131131,4004384
C9131134,4004385
C9131135,4004386
C9131136,4004387
C9131137,4004388
C9131138,4004389
C9131139,4004390
C9140105,4004391
C9140106,4004392
C9140110,4004393
C9140115,4004394
C9140120,4004395
C9140125,4004397
C9140130,4004399
C9140135,4004400
D0101406,4004413
D0104020,4004414
D0114032,4004415
D0123150,4004416
D0131065,4004417
D0140005,4004419
D0140010,4004420
D0140015,4004421
D0141002,4004422
D0141003,4004423
D0141004,4004424
D0141005,4004425
D0141020,4004426
D0141025,4004427
D0142005,4004428
D0142010,4004429
D0142015,4004430
D0142020,4004431
D0142025,4004432
D0143005,4004433
D0143010,4004434
D0143015,4004435
D0143020,4004436
D0143025,4004437
D0143030,4004438
D0171000,4004439
D0171005,4004440
D0274015,4004441
D0274020,4004442
D0274025,4004443
D0412025,4004444
D0420005,4004445
D0430005,4004446
D0430010,4004447
D0736090,4004448
D0801645,4004449
D0827005,4004451
D0827010,4004452
D0827015,4004453
D0827020,4004454
D0827025,4004455
D0827027,4004456
D0827037,4004457
D0827045,4004458
D0830125,4004459
D0837032,4004460
D0837040,4004461
D0837050,4004462
D0837080,4004463
D0840005,4004464
D0840010,4004465
D0840015,4004466
D0840020,4004467
D0841005,4004468
D0841010,4004469
D0841015,4004470
D0841020,4004471
D0842030,4004472
D0842035,4004473
D0842040,4004474
D0842045,4004475
D0842047,4004476
D0845005,4004477
D0845010,4004478
D0845020,4004479
D0845025,4004480
D0845030,4004481
D0845032,4004482
D0845037,4004483
D0845042,4004484
D0845045,4004485
D0845050,4004486
D0860010,4004488
D0860015,4004489
D0860020,4004490
D0860025,4004491
D0860030,4004492
D0860040,4004493
D0860050,4004494
D0860055,4004495
D0860060,4004496
D0860065,4004497
D0860070,4004498
D0900051,4004499
D0900055,4004500
D0900060,4004501
D0900065,4004502
D0900070,4004503
D0900087,4004504
D0900090,4004505
D0910072,4004506
D0910082,4004507
D0910095,4004508
D0910115,4004509
D0910120,4004510
D0910130,4004511
D1575000,4004512
D1575005,4004513
D1575010,4004514
D9100007,4004515
D9100008,4004516
D9100012,4004517
D9100017,4004518
D9100018,4004519
D9100023,4004520
D9100024,4004521
D9101015,4004522
D9136005,4004523
D9136010,4004524
D9136015,4004525
D9137005,4004526
D9137010,4004527
D9137015,4004528
D9137020,4004529
D9145030,4004531
D9300005,4004532
DZ000181,4004535
DZ000215,4004539
E0800006,4004544
E0800010,4004545
E0800013,4004546
E0800025,4004547
E0800031,4004550
E0800040,4004551
E0800045,4004552
E0800047,4004553
E0800052,4004554
E0800055,4004555
E0800057,4004556
E0800058,4004557
E0800059,4004558
E0800060,4004559
E0800063,4004560
E0800066,4004562
E0800070,4004563
E0800071,4004564
E0800073,4004565
E0800075,4004566
E0800078,4004567
E0800079,4004568
E0800080,4004569
E0800082,4004570
E0800085,4004571
E0800090,4004572
E0800091,4004573
E0800092,4004574
E0800093,4004575
E0800098,4004576
E0800100,4004577
E0800102,4004579
E0800105,4004580
E0800106,4004581
E0800110,4004582
E0800115,4004583
E0800116,4004584
E0800117,4004585
E0800120,4004586
E0800121,4004587
E0800124,4004588
E0800125,4004589
E0800126,4004590
E0800127,4004591
E0800128,4004592
E0800130,4004594
E0800131,4004595
E0800132,4004596
E0800133,4004597
E0800135,4004598
E0800136,4004599
E0800140,4004600
E0800145,4004601
E0800150,4004602
E0800155,4004603
E0800160,4004604
E0800161,4004605
E0800165,4004606
E0800170,4004607
E0800180,4004609
E0800185,4004610
E0800186,4004611
E0800187,4004612
E0800190,4004613
E0800191,4004614
E0800195,4004616
E0800200,4004617
E0800203,4004618
E0800205,4004619
E0800210,4004620
E0800220,4003602
E0800221,4003603
E0800225,4003604
E0800230,4003605
E0800233,4003606
E0800235,4003607
E0800236,4003608
E0800240,4003609
E0800241,4003610
E0800242,4003611
E0800245,4003612
E0800250,4003613
E0800251,4003614
E0800252,4003615
E0800253,4003616
E0800255,4003617
E0800256,4003618
E0800260,4003619
E0800265,4003620
E0800266,4003621
E0800267,4003622
E0800270,4003623
E0800271,4003624
E0800275,4003625
E0800280,4003626
E0800285,4003627
E0800286,4003628
E0800305,4003629
E0800306,4003630
E0800310,4003631
E0800311,4003632
E0800312,4003633
E0800315,4003634
E0800320,4003635
E0800323,4003636
E0800324,4003637
E0800325,4003638
E0800326,4003639
E0800327,4003640
E0800330,4003641
E0800335,4003642
E0800340,4003643
E0800342,4003644
E0800343,4003645
E0800344,4003646
E0800345,4003647
